datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month,T_lag1,T_lag3,T_lag6,T_lag24,RH_lag1,RH_lag3,RH_lag6,RH_lag24,AH_lag1,AH_lag3,AH_lag6,AH_lag24,C6H6(GT)_lag1,C6H6(GT)_lag3,C6H6(GT)_lag6,C6H6(GT)_lag24,C6H6(GT)_rollmean_3,C6H6(GT)_rollmean_24,CO(GT)_lag1,CO(GT)_lag3,CO(GT)_lag6,CO(GT)_lag24,CO(GT)_rollmean_3,CO(GT)_rollmean_24
2004-03-12 04:00:00,0.7,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,4,4,3,7.0,7.7,8.2,10.1,62.3,59.7,63.4,60.5,0.6261,0.6308,0.6905,0.7465,1.9,6.4,4.7,1.3,2.3666666666666667,8.279166666666667,0.8,1.9,1.5,0.6,0.9666666666666668,2.2624999999999997
2004-03-12 05:00:00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,5,4,3,6.1,7.1,8.2,11.0,65.9,61.8,60.8,56.2,0.6248,0.6276,0.6657,0.7366,1.1,4.1,2.6,1.1,1.3333333333333333,8.275,0.7,1.4,1.0,0.7,0.7000000000000001,2.2583333333333333
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,6,4,3,6.3,7.0,8.3,10.5,65.0,62.3,58.5,58.1,0.6233,0.6261,0.6438,0.7353,1.0,1.9,5.9,1.6,1.3,8.283333333333333,0.6,0.8,1.7,0.7,0.7000000000000001,2.2624999999999997
2004-03-12 07:00:00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,7,4,3,6.8,6.1,7.7,10.2,62.9,65.9,59.7,59.6,0.6234,0.6248,0.6308,0.7417,1.8,1.1,6.4,3.2,2.4000000000000004,8.333333333333334,0.8,0.7,1.9,1.1,0.9333333333333332,2.275
2004-03-12 08:00:00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,8,4,3,6.4,6.3,7.1,10.8,65.1,65.0,61.8,57.4,0.6316,0.6233,0.6276,0.7408,4.4,1.0,4.1,8.0,8.033333333333333,8.745833333333332,1.4,0.6,1.4,2.0,2.1999999999999997,2.375
2004-03-12 09:00:00,3.8,1545.0,205.0,22.1,1353.0,247.0,767.0,131.5,2058.0,1588.0,9.2,56.2,0.6561,9,4,3,7.3,6.8,7.0,10.5,63.1,62.9,62.3,60.6,0.6499,0.6234,0.6261,0.7691,17.9,1.8,1.9,9.5,14.800000000000002,9.270833333333334,4.4,0.8,0.8,2.2,3.1999999999999997,2.4416666666666664
2004-03-12 10:00:00,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,10,4,3,9.2,6.4,6.1,10.8,56.2,65.1,65.9,58.4,0.6561,0.6316,0.6248,0.7552,22.1,4.4,1.1,6.3,18.0,9.591666666666667,3.8,1.4,0.7,1.7,3.766666666666666,2.5
2004-03-12 11:00:00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,11,4,3,13.2,7.3,6.3,10.5,41.7,63.1,65.0,57.9,0.632,0.6499,0.6233,0.7352,14.0,17.9,1.0,5.0,15.9,9.866666666666667,3.1,4.4,0.6,1.5,3.1999999999999997,2.5500000000000003
2004-03-12 12:00:00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,12,4,3,14.3,9.2,6.8,9.5,38.4,56.2,62.9,66.8,0.6243,0.6561,0.6234,0.7951,11.6,22.1,1.8,5.2,11.933333333333335,10.075,2.7,3.8,0.8,1.6,2.6333333333333333,2.5708333333333333
2004-03-12 13:00:00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,13,4,3,15.0,13.2,6.4,8.3,36.5,41.7,65.1,76.4,0.6195,0.632,0.6316,0.8393,10.2,14.0,4.4,7.3,10.933333333333335,10.229166666666666,2.1,3.1,1.4,1.9,2.433333333333333,2.595833333333333
2004-03-12 14:00:00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,14,4,3,16.1,14.3,7.3,8.0,34.5,38.4,63.1,81.1,0.6262,0.6243,0.6499,0.8736,11.0,11.6,17.9,11.5,11.333333333333334,10.283333333333333,2.5,2.7,4.4,2.9,2.433333333333333,2.5875
2004-03-12 15:00:00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,15,4,3,16.3,15.0,9.2,8.3,35.7,36.5,56.2,79.8,0.656,0.6195,0.6561,0.8778,12.8,10.2,22.1,8.8,12.66666666666667,10.508333333333333,2.7,2.1,3.8,2.2,2.6999999999999997,2.6166666666666667
2004-03-12 16:00:00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,16,4,3,15.8,16.1,13.2,9.7,37.0,34.5,41.7,71.2,0.661,0.6262,0.632,0.8569,14.2,11.0,14.0,8.3,13.233333333333334,10.691666666666665,2.9,2.5,3.1,2.2,2.7999999999999994,2.6416666666666666
2004-03-12 17:00:00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,17,4,3,15.9,16.3,14.3,9.8,37.2,35.7,38.4,67.6,0.6657,0.656,0.6243,0.8185,12.7,12.8,11.6,11.2,12.866666666666667,10.7125,2.8,2.7,2.7,2.9,2.6999999999999993,2.620833333333333
2004-03-12 18:00:00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,18,4,3,16.9,15.8,15.0,10.3,34.3,37.0,36.5,64.2,0.6549,0.661,0.6195,0.8065,11.7,14.2,10.2,20.8,14.566666666666668,10.65,2.4,2.9,2.1,4.8,3.0333333333333328,2.5833333333333335
2004-03-12 19:00:00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,19,4,3,15.1,15.9,16.1,9.7,39.6,37.2,34.5,69.3,0.6766,0.6657,0.6262,0.8319,19.3,12.7,11.0,27.4,16.400000000000002,10.266666666666667,3.9,2.8,2.5,6.9,3.3333333333333335,2.45
2004-03-12 20:00:00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,20,4,3,14.4,16.9,16.3,9.6,43.4,34.3,35.7,67.8,0.7084,0.6549,0.656,0.8133,18.2,11.7,12.8,24.0,23.366666666666664,10.625,3.7,2.4,2.7,6.1,4.733333333333333,2.470833333333333
2004-03-12 21:00:00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,21,4,3,12.9,15.1,15.8,9.1,50.5,39.6,37.0,64.0,0.7478,0.6766,0.661,0.7419,32.6,19.3,14.2,12.8,23.633333333333336,10.929166666666667,6.6,3.9,2.9,3.9,4.8999999999999995,2.4916666666666667
2004-03-12 22:00:00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,22,4,3,12.1,14.4,15.9,8.2,53.3,43.4,37.2,63.4,0.7536,0.7084,0.6657,0.6905,20.1,18.2,12.7,4.7,22.333333333333332,11.329166666666667,4.4,3.7,2.8,1.5,4.833333333333333,2.5749999999999997
2004-03-12 23:00:00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,23,4,3,11.0,12.9,16.9,8.2,59.1,50.5,34.3,60.8,0.774,0.7478,0.6549,0.6657,14.3,32.6,11.7,2.6,18.733333333333334,12.129166666666668,3.5,6.6,2.4,1.0,4.433333333333334,2.7583333333333333
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0,5,3,9.7,12.1,15.1,8.3,64.6,53.3,39.6,58.5,0.7771,0.7536,0.6766,0.6438,21.8,20.1,19.3,5.9,15.233333333333334,12.283333333333333,5.4,4.4,3.9,1.7,3.866666666666667,2.8000000000000003
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,1,5,3,9.5,11.0,14.4,7.7,64.1,59.1,43.4,59.7,0.7597,0.774,0.7084,0.6308,9.6,14.3,18.2,6.4,12.933333333333332,12.324999999999998,2.7,3.5,3.7,1.9,3.3333333333333335,2.8000000000000003
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2,5,3,9.1,9.7,12.9,7.1,63.9,64.6,50.5,61.8,0.7423,0.7771,0.7478,0.6276,7.4,21.8,32.6,4.1,7.466666666666666,12.379166666666668,1.9,5.4,6.6,1.4,2.066666666666667,2.8083333333333336
2004-03-13 03:00:00,1.7,1172.0,46.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,3,5,3,8.8,9.5,12.1,7.0,63.9,64.1,53.3,62.3,0.7256,0.7597,0.7536,0.6261,5.4,9.6,20.1,1.9,6.066666666666667,12.524999999999999,1.6,2.7,4.4,0.8,1.7333333333333334,2.845833333333333
2004-03-13 04:00:00,1.4,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,4,5,3,7.8,9.1,11.0,6.1,67.5,63.9,59.1,65.9,0.7173,0.7423,0.774,0.6248,5.4,7.4,14.3,1.1,5.666666666666667,12.737500000000002,1.7,1.9,3.5,0.7,1.5666666666666667,2.875
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,5,5,3,7.0,8.8,9.7,6.3,71.1,63.9,64.6,65.0,0.7158,0.7256,0.7771,0.6233,6.2,5.4,21.8,1.0,4.733333333333333,12.804166666666667,1.4,1.6,5.4,0.6,1.3666666666666665,2.891666666666667
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,6,5,3,8.3,7.8,9.5,6.8,63.6,67.5,64.1,62.9,0.6982,0.7173,0.7597,0.6234,2.6,5.4,9.6,1.8,3.9,12.850000000000001,1.0,1.7,2.7,0.8,1.2,2.908333333333333
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,7,5,3,7.2,7.0,9.1,6.4,67.5,71.1,63.9,65.1,0.6887,0.7158,0.7423,0.6316,2.9,6.2,7.4,4.4,3.533333333333333,12.879166666666668,1.2,1.4,1.9,1.4,1.2333333333333334,2.9125
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,8,5,3,6.3,8.3,8.8,7.3,71.9,63.6,63.9,63.1,0.6932,0.6982,0.7256,0.6499,5.1,2.6,5.4,17.9,6.6000000000000005,12.625,1.5,1.0,1.6,4.4,1.8,2.841666666666667
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,9,5,3,6.5,7.2,7.8,9.2,71.6,67.5,67.5,56.2,0.6945,0.6887,0.7173,0.6561,11.8,2.9,5.4,22.1,10.666666666666666,12.333333333333336,2.7,1.2,1.7,3.8,2.6333333333333333,2.8375
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,10,5,3,9.6,6.3,7.0,13.2,59.7,71.9,71.1,41.7,0.7124,0.6932,0.7158,0.632,15.1,5.1,6.2,14.0,13.266666666666666,12.287500000000001,3.7,1.5,1.4,3.1,3.2000000000000006,2.841666666666667
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,11,5,3,12.4,6.5,8.3,14.3,51.2,71.6,63.6,38.4,0.7335,0.6945,0.6982,0.6243,12.9,11.8,2.6,11.6,14.700000000000001,12.475000000000001,3.2,2.7,1.0,2.7,3.6666666666666665,2.9000000000000004
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,12,5,3,15.6,9.6,7.2,15.0,42.2,59.7,67.5,36.5,0.7451,0.7124,0.6887,0.6195,16.1,15.1,2.9,10.2,14.333333333333334,12.633333333333335,4.1,3.7,1.2,2.1,3.6333333333333333,2.9625
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,13,5,3,18.4,12.4,6.3,16.1,33.8,51.2,71.9,34.5,0.709,0.7335,0.6932,0.6262,14.0,12.9,5.1,11.0,14.133333333333335,12.6875,3.6,3.2,1.5,2.5,3.5,2.9749999999999996
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,14,5,3,19.4,15.6,6.5,16.3,31.3,42.2,71.6,35.7,0.695,0.7451,0.6945,0.656,12.3,16.1,11.8,12.8,11.633333333333333,12.512500000000001,2.8,4.1,2.7,2.7,2.8000000000000003,2.945833333333333
2004-03-13 15:00:00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,15,5,3,18.0,18.4,9.6,15.8,34.8,33.8,59.7,37.0,0.7127,0.709,0.7124,0.661,8.6,14.0,15.1,14.2,10.033333333333333,12.304166666666667,2.0,3.6,3.7,2.9,2.266666666666667,2.908333333333333
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,16,5,3,18.4,19.4,12.4,15.9,33.6,31.3,51.2,37.2,0.7042,0.695,0.7335,0.6657,9.2,12.3,12.9,12.7,9.333333333333334,12.200000000000001,2.0,2.8,3.2,2.8,2.1666666666666665,2.8958333333333335
2004-03-13 17:00:00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,17,5,3,17.6,18.0,15.6,16.9,35.1,34.8,42.2,34.3,0.7012,0.7127,0.7451,0.6549,10.2,8.6,16.1,11.7,9.999999999999998,12.154166666666667,2.5,2.0,4.1,2.4,2.266666666666666,2.891666666666666
2004-03-13 18:00:00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,18,5,3,16.7,18.4,18.4,15.1,37.8,33.6,33.8,39.6,0.7117,0.7042,0.709,0.6766,10.6,9.2,14.0,19.3,12.1,11.995833333333335,2.3,2.0,3.6,3.9,2.6666666666666665,2.8625000000000003
2004-03-13 19:00:00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,19,5,3,16.1,17.6,19.4,14.4,41.0,35.1,31.3,43.4,0.7451,0.7012,0.695,0.7084,15.5,10.2,12.3,18.2,15.233333333333334,12.054166666666667,3.2,2.5,2.8,3.7,3.233333333333333,2.8833333333333333
2004-03-13 20:00:00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,20,5,3,15.8,16.7,18.0,12.9,42.4,37.8,34.8,50.5,0.7569,0.7117,0.7127,0.7478,19.6,10.6,8.6,32.6,18.099999999999998,11.495833333333335,4.2,2.3,2.0,6.6,3.866666666666667,2.783333333333333
2004-03-13 21:00:00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,21,5,3,15.7,16.1,18.4,12.1,44.1,41.0,33.6,53.3,0.7786,0.7451,0.7042,0.7536,19.2,15.5,9.2,20.1,19.033333333333335,11.420833333333334,4.2,3.2,2.0,4.4,4.2,2.775
2004-03-13 22:00:00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,22,5,3,15.3,15.8,17.6,11.0,46.8,42.4,35.1,59.1,0.8091,0.7569,0.7012,0.774,18.3,19.6,10.2,14.3,16.866666666666667,11.370833333333332,4.2,4.2,2.5,3.5,3.8333333333333335,2.7583333333333333
2004-03-13 23:00:00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,23,5,3,14.6,15.7,16.7,9.7,48.6,44.1,37.8,64.6,0.806,0.7786,0.7117,0.7771,13.1,19.2,10.6,21.8,14.1,10.916666666666666,3.1,4.2,2.3,5.4,3.3000000000000003,2.6416666666666666
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0,6,3,14.7,15.3,16.1,9.5,49.3,46.8,41.0,64.1,0.8193,0.8091,0.7451,0.7597,10.9,18.3,15.5,9.6,11.666666666666666,10.975000000000001,2.6,4.2,3.2,2.7,2.8666666666666667,2.65
2004-03-14 01:00:00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,1,6,3,13.9,14.6,15.8,9.1,53.6,48.6,42.4,63.9,0.8498,0.806,0.7569,0.7423,11.0,13.1,19.6,7.4,11.266666666666666,11.1625,2.9,3.1,4.2,1.9,2.766666666666667,2.6875
2004-03-14 02:00:00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2,6,3,14.6,14.7,15.7,8.8,51.5,49.3,44.1,63.9,0.8536,0.8193,0.7786,0.7256,11.9,10.9,19.2,5.4,10.5,11.295833333333334,2.8,2.6,4.2,1.6,2.733333333333333,2.725
2004-03-14 03:00:00,2.4,1344.0,132.0,9.7,968.0,99.0,921.0,93.0,1620.0,1278.0,11.6,63.4,0.8674,3,6,3,12.5,13.9,15.3,7.8,58.9,53.6,46.8,67.5,0.8537,0.8498,0.8091,0.7173,8.6,11.0,18.3,5.4,10.066666666666666,11.475000000000001,2.5,2.9,4.2,1.7,2.5666666666666664,2.7541666666666664
2004-03-14 04:00:00,1.8,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,4,6,3,11.6,14.6,14.6,7.0,63.4,51.5,48.6,71.1,0.8674,0.8536,0.806,0.7158,9.7,11.9,13.1,6.2,7.833333333333332,11.433333333333332,2.4,2.8,3.1,1.4,2.2333333333333334,2.7708333333333335
2004-03-14 05:00:00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,5,6,3,12.1,12.5,14.7,8.3,61.1,58.9,49.3,63.6,0.8603,0.8537,0.8193,0.6982,5.2,8.6,10.9,2.6,6.2,11.479166666666666,1.8,2.5,2.6,1.0,1.7999999999999998,2.7791666666666663
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,6,6,3,11.5,11.6,13.9,7.2,63.1,63.4,53.6,67.5,0.8533,0.8674,0.8498,0.6887,3.7,9.7,11.0,2.9,3.8000000000000003,11.462499999999999,1.2,2.4,2.9,1.2,1.3333333333333333,2.7708333333333335
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,7,6,3,11.6,12.1,14.6,6.3,62.2,61.1,51.5,71.9,0.8473,0.8603,0.8536,0.6932,2.5,5.2,11.9,5.1,2.8666666666666667,11.350000000000001,1.0,1.8,2.8,1.5,1.0333333333333334,2.7458333333333336
2004-03-14 08:00:00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,8,6,3,10.4,11.5,12.5,6.5,67.6,63.1,58.9,71.6,0.853,0.8533,0.8537,0.6945,2.4,3.7,8.6,11.8,3.0333333333333337,11.033333333333333,0.9,1.2,2.5,2.7,1.0999999999999999,2.691666666666667
2004-03-14 09:00:00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,9,6,3,11.6,11.6,11.6,9.6,62.7,62.2,63.4,59.7,0.853,0.8473,0.8674,0.7124,4.2,2.5,9.7,15.1,4.333333333333333,10.670833333333334,1.4,1.0,2.4,3.7,1.3,2.6041666666666665
2004-03-14 10:00:00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,10,6,3,12.4,10.4,12.1,12.4,60.0,67.6,61.1,51.2,0.8627,0.853,0.8603,0.7335,6.4,2.4,5.2,12.9,6.400000000000001,10.491666666666667,1.6,0.9,1.8,3.2,1.7333333333333334,2.5625
2004-03-14 11:00:00,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,11,6,3,14.5,11.6,11.5,15.6,53.1,62.7,63.1,42.2,0.8728,0.853,0.8533,0.7451,8.6,4.2,3.7,16.1,8.633333333333335,10.275,2.2,1.4,1.2,4.1,2.1999999999999997,2.5083333333333333
2004-03-14 12:00:00,2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,12,6,3,16.9,12.4,11.6,18.4,46.1,60.0,62.2,33.8,0.8789,0.8627,0.8473,0.709,10.9,6.4,2.5,14.0,10.066666666666666,10.137500000000001,2.8,1.6,1.0,3.6,2.6,2.475
2004-03-14 13:00:00,2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,13,6,3,19.3,14.5,10.4,19.4,38.3,53.1,67.6,31.3,0.8474,0.8728,0.853,0.695,10.7,8.6,2.4,12.3,9.700000000000001,9.9375,2.8,2.2,0.9,2.8,2.533333333333333,2.4416666666666664
2004-03-14 14:00:00,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,14,6,3,21.2,16.9,11.6,18.0,31.4,46.1,62.7,34.8,0.7812,0.8789,0.853,0.7127,7.5,10.9,4.2,8.6,8.566666666666668,9.891666666666667,2.0,2.8,1.4,2.0,2.2,2.433333333333333
2004-03-14 15:00:00,1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,15,6,3,21.4,19.3,12.4,18.4,30.2,38.3,60.0,33.6,0.7616,0.8474,0.8627,0.7042,7.5,10.7,6.4,9.2,7.733333333333334,9.85,1.8,2.8,1.6,2.0,1.9000000000000001,2.4291666666666667
